0	2	2
1	13	13
2	10	10
3	1	1
4	2	2
5	5	5
6	4	4
7	1	1
8	1	1
9	1	1
10	5	5
11	4	4
12	0	0
13	1	1
14	1	1
15	0	0
16	2	2
17	8	8
18	5	5
19	5	5
20	5	5
21	5	5
22	1	1
23	2	2
24	4	4
25	4	4
26	0	0
27	0	0
28	5	5
29	4	4
30	10	10
31	2	2
32	580	580
33	58	58
34	1	1
35	145	145
36	424	424
37	26	26
38	225	225
39	117	117
40	169	169
41	185	185
42	149	149
43	137	137
44	36	36
45	137	137
46	100	100
47	68	68
48	452	452
49	25	25
50	128	128
51	61	61
52	49	49
53	36	36
54	85	85
55	52	52
56	89	89
57	80	80
58	137	137
59	37	37
60	121	121
61	40	40
62	80	80
63	50	50
64	13	13
65	725	725
66	193	193
67	89	89
68	296	296
69	5	5
70	45	45
71	529	529
72	221	221
73	10	10
74	85	85
75	193	193
76	29	29
77	650	650
78	229	229
79	10	10
80	106	106
81	181	181
82	61	61
83	169	169
84	104	104
85	196	196
86	58	58
87	221	221
88	85	85
89	221	221
90	74	74
91	261	261
92	53	53
93	701	701
94	281	281
95	10	10
96	128	128
97	193	193
98	40	40
99	197	197
100	16	16
101	657	657
102	149	149
103	98	98
104	277	277
105	17	17
106	50	50
107	185	185
108	29	29
109	544	544
110	290	290
111	2	2
112	53	53
113	629	629
114	173	173
115	73	73
116	277	277
117	4	4
118	74	74
119	725	725
120	200	200
121	64	64
122	298	298
123	1	1
124	74	74
125	586	586
126	212	212
127	5	5
128	40	40
129	578	578
130	136	136
131	50	50
132	149	149
133	58	58
134	625	625
135	1	1
136	2	2
137	505	505
138	10	10
139	2	2
140	1	1
141	1	1
142	4	4
143	2	2
144	1	1
145	1	1
146	10	10
147	4	4
148	265	265
149	320	320
150	10	10
151	10	10
152	5	5
153	2	2
154	1	1
155	1	1
156	2	2
157	1	1
158	1	1
159	2	2
160	584	584
161	36	36
162	10	10
163	10	10
164	2	2
165	2	2
166	2	2
167	640	640
168	34	34
169	9	9
170	1	1
171	2	2
172	1	1
173	1	1
174	2	2
175	2	2
176	4	4
177	5	5
178	5	5
179	2	2
180	0	0
181	2	2
182	0	0
183	0	0
184	13	13
185	2	2
186	2	2
187	400	400
188	194	194
189	13	13
190	1	1
191	17	17
192	2	2
193	0	0
194	10	10
195	10	10
196	449	449
197	16	16
198	13	13
199	17	17
200	740	740
201	13	13
202	4	4
203	832	832
204	1	1
205	26	26
206	730	730
207	2	2
208	2	2
209	8	8
210	1	1
211	2	2
212	5	5
213	4	4
214	1	1
215	1	1
216	20	20
217	277	277
218	245	245
219	32	32
220	0	0
221	5	5
222	4	4
223	2	2
224	4	4
225	8	8
226	5	5
227	5	5
228	1	1
229	657	657
230	25	25
231	5	5
232	4	4
233	2	2
234	2	2
235	5	5
236	1	1
237	9	9
238	5	5
239	845	845
240	1	1
241	58	58
242	689	689
243	2	2
244	2	2
245	1	1
246	1	1
247	4	4
248	2	2
249	1	1
250	5	5
251	10	10
252	17	17
253	324	324
254	293	293
255	10	10
256	2	2
257	2	2
258	1	1
259	2	2
260	5	5
261	2	2
262	2	2
263	5	5
264	8	8
265	801	801
266	26	26
267	2	2
268	4	4
269	0	0
270	1	1
271	0	0
272	629	629
273	58	58
274	45	45
275	16	16
276	5	5
277	5	5
278	4	4
279	2	2
280	5	5
281	1	1
282	2	2
283	2	2
284	2	2
285	1	1
286	5	5
287	8	8
288	1	1
289	5	5
290	2	2
291	2	2
292	1	1
293	2	2
294	1	1
295	4	4
296	0	0
297	5	5
298	2	2
299	2	2
300	2	2
301	4	4
302	2	2
303	5	5
304	5	5
305	585	585
306	82	82
307	8	8
308	5	5
309	9	9
310	2	2
311	1	1
312	4	4
313	1	1
314	5	5
315	5	5
316	5	5
317	5	5
318	10	10
319	8	8
320	1	1
321	1	1
322	2	2
323	1	1
324	0	0
325	1	1
326	1	1
327	4	4
328	2	2
329	0	0
330	5	5
331	10	10
332	1	1
333	4	4
334	2	2
335	8	8
336	1	1
337	1	1
338	585	585
339	40	40
340	0	0
341	697	697
342	5	5
343	5	5
344	610	610
345	1	1
346	4	4
347	5	5
348	4	4
349	1	1
350	10	10
351	0	0
352	1	1
353	8	8
354	4	4
355	296	296
356	410	410
357	5	5
358	2	2
359	5	5
360	5	5
361	5	5
362	1	1
363	2	2
364	1	1
365	2	2
366	4	4
367	485	485
368	37	37
369	4	4
370	1	1
371	2	2
372	2	2
373	4	4
374	733	733
375	64	64
376	4	4
377	17	17
378	13	13
379	1	1
380	4	4
381	5	5
382	1	1
383	1	1
384	2	2
385	1	1
386	1	1
387	0	0
388	8	8
389	1	1
390	0	0
391	5	5
392	1	1
393	17	17
394	234	234
395	260	260
396	29	29
397	1	1
398	0	0
399	1	1
400	8	8
401	2	2
402	0	0
403	738	738
404	50	50
405	10	10
406	8	8
407	5	5
408	1	1
409	10	10
410	1	1
411	53	53
412	697	697
413	4	4
414	4	4
415	2	2
416	2	2
417	1	1
418	1	1
419	2	2
420	1	1
421	5	5
422	0	0
423	5	5
424	5	5
425	5	5
426	5	5
427	2	2
428	5	5
429	1	1
430	0	0
431	1	1
432	5	5
433	1	1
434	1	1
435	2	2
436	793	793
437	10	10
438	0	0
439	1	1
440	2	2
441	4	4
442	0	0
443	0	0
444	0	0
445	1	1
446	32	32
447	205	205
448	370	370
449	29	29
450	4	4
451	1	1
452	9	9
453	10	10
454	2	2
455	4	4
456	8	8
457	0	0
458	9	9
459	605	605
460	125	125
461	1	1
462	5	5
463	13	13
464	5	5
465	2	2
466	5	5
467	1	1
468	5	5
469	740	740
470	10	10
471	122	122
472	593	593
473	10	10
474	0	0
475	1	1
476	26	26
477	17	17
478	13	13
479	10	10
480	25	25
481	8	8
482	13	13
483	565	565
484	125	125
485	2	2
486	8	8
487	9	9
488	5	5
489	10	10
490	1	1
491	2	2
492	20	20
493	5	5
494	13	13
495	625	625
496	4	4
497	4	4
498	1	1
499	2	2
500	0	0
501	0	0
502	725	725
503	13	13
504	85	85
505	676	676
506	1	1
507	5	5
508	2	2
509	4	4
510	2	2
511	1	1
512	5	5
513	2	2
514	5	5
515	20	20
516	377	377
517	178	178
518	8	8
519	10	10
520	5	5
521	2	2
522	1	1
523	9	9
524	1	1
525	0	0
526	2	2
527	1	1
528	578	578
529	16	16
530	0	0
531	2	2
532	1	1
533	1	1
534	5	5
535	5	5
536	2	2
537	5	5
538	738	738
539	26	26
540	10	10
541	4	4
542	5	5
543	1	1
544	2	2
545	5	5
546	4	4
547	5	5
548	5	5
